APJ ABDUL KALAM TECHNOLOGICAL UNIVERSITYThiruvananthapuram, Kerala, INDIAMODEL ENGINEERING COLLEGEBTech S1 regular examination 2016-17 (S1 Result)*TBP -To Be Published SoonELECTRONICS & COMMUNICATION ENGGCourse CodeCourseMA101CALCULUSBE100ENGINEERING MECHANICSBE10104INTRODUCTION TO ELECTRONICS ENGINEERINGEE100BASICS OF ELECTRICAL ENGINEERINGBE110ENGINEERING GRAPHICSME100BASICS OF MECHANICAL ENGINEERINGCY100ENGINEERING CHEMISTRYBE103INTRODUCTION TO SUSTAINABLE ENGINEERINGCY110ENGINEERING CHEMISTRY LABEC110ELECTRONICS ENGINEERING WORKSHOPME110MECHANICAL ENGINEERING WORKSHOPRegister NoCourse Code (Grade)
MDL15EC020BE10104(A+)
MDL15EC033BE100(FE), BE10104(FE), EE100(FE)
MDL15EC035MA101(C)
MDL15EC039BE110(F)
MDL15EC078BE10104(F), ME100(F)
MDL15EC100BE100(F), BE10104(F), EE100(C)
MDL15EC122BE10104(C)
MDL16EC001MA101(A+), CY100(B+), BE100(C), BE10104(B), BE103(B+), ME100(F), CY110(O), ME110(A+),EC110(O)
MDL16EC061MA101(A+), CY100(A), BE100(B), BE10104(B), BE103(C), ME100(B), CY110(O), ME110(A+),EC110(O)
MDL16EC062MA101(C), CY100(C), BE100(C), BE10104(C), BE103(B+), ME100(F), CY110(O), ME110(B+),EC110(A+)
MDL16EC063MA101(A+), CY100(A), BE100(A), BE10104(B), BE103(B+), ME100(B+), CY110(O), ME110(A+),EC110(A+)
MDL16EC064MA101(FE), CY100(FE), BE100(FE), BE10104(FE), BE103(FE), ME100(FE), CY110(C),ME110(I), EC110(FE)
MDL16EC065MA101(A+), CY100(A+), BE100(B+), BE10104(A), BE103(B), ME100(B+), CY110(O), ME110(O),EC110(O)
MDL16EC066MA101(A), CY100(A+), BE100(O), BE10104(B+), BE103(B+), ME100(B+), CY110(O), ME110(A+),EC110(O)
MDL16EC067MA101(O), CY100(B+), BE100(B+), BE10104(A), BE103(B+), ME100(A+), CY110(O), ME110(A),EC110(O)
MDL16EC068MA101(O), CY100(O), BE100(A+), BE10104(A+), BE103(A), ME100(A+), CY110(O), ME110(O),EC110(O)
MDL16EC069MA101(B+), CY100(C), BE100(C), BE10104(C), BE103(B), ME100(B), CY110(O), ME110(O),EC110(O)
MDL16EC070MA101(B), CY100(C), BE100(C), BE10104(B), BE103(B), ME100(B+), CY110(O), ME110(O),EC110(B)
MDL16EC071MA101(A), CY100(A+), BE100(C), BE10104(B+), BE103(B), ME100(B+), CY110(O), ME110(O),EC110(B+)
MDL16EC072MA101(O), CY100(O), BE100(A+), BE10104(O), BE103(B+), ME100(O), CY110(O), ME110(O),EC110(O)
MDL16EC073MA101(O), CY100(A+), BE100(A), BE10104(A), BE103(A), ME100(A+), CY110(O), ME110(O),EC110(O)
MDL16EC074MA101(O), CY100(B+), BE100(B), BE10104(B), BE103(B+), ME100(B), CY110(O), ME110(A),EC110(O)
MDL16EC075MA101(F), CY100(C), BE100(C), BE10104(C), BE103(B), ME100(F), CY110(O), ME110(A),EC110(A)
MDL16EC076MA101(A), CY100(A), BE100(B), BE10104(A), BE103(B+), ME100(A), CY110(A+), ME110(A),EC110(O)
MDL16EC077MA101(A), CY100(B), BE100(B), BE10104(B+), BE103(B+), ME100(F), CY110(O), ME110(O),EC110(B)
MDL16EC078MA101(B), CY100(F), BE100(B+), BE10104(F), BE103(B), ME100(F), CY110(A+), ME110(A+),EC110(C)
MDL16EC079MA101(O), CY100(B), BE100(B+), BE10104(B), BE103(B+), ME100(B), CY110(O), ME110(A),EC110(A+)
MDL16EC080MA101(B+), CY100(B), BE100(B), BE10104(B), BE103(B+), ME100(F), CY110(O), ME110(O),EC110(B+)
MDL16EC081MA101(A+), CY100(B+), BE100(A), BE10104(B+), BE103(B+), ME100(B), CY110(O), ME110(O),EC110(A)
MDL16EC082MA101(A+), CY100(B+), BE100(A+), BE10104(B+), BE103(A+), ME100(B+), CY110(O),ME110(A+), EC110(O)
MDL16EC083MA101(B), CY100(B), BE100(B+), BE10104(F), BE103(B+), ME100(C), CY110(O), ME110(A+),EC110(B+)
MDL16EC084MA101(O), CY100(O), BE100(O), BE10104(A+), BE103(A), ME100(A+), CY110(O), ME110(A+),EC110(O)
MDL16EC085MA101(B+), CY100(B+), BE100(C), BE10104(B), BE103(B+), ME100(C), CY110(O), ME110(A+),EC110(O)
MDL16EC086MA101(A), CY100(A), BE100(B+), BE10104(B+), BE103(A), ME100(B), CY110(O), ME110(O),EC110(B+)
MDL16EC087MA101(B+), CY100(B+), BE100(B+), BE10104(A+), BE103(A), ME100(B+), CY110(O), ME110(O),EC110(O)
MDL16EC088MA101(A), CY100(A), BE100(C), BE10104(A), BE103(B+), ME100(B+), CY110(O), ME110(B+),EC110(O)
MDL16EC089MA101(O), CY100(B+), BE100(A+), BE10104(B+), BE103(B+), ME100(B), CY110(O), ME110(O),EC110(O)
MDL16EC090MA101(C), CY100(C), BE100(B+), BE10104(F), BE103(B+), ME100(F), CY110(O), ME110(A+),EC110(B+)
MDL16EC091MA101(A), CY100(B+), BE100(A), BE10104(B+), BE103(B+), ME100(B), CY110(O), ME110(A+),EC110(O)
MDL16EC092MA101(A+), CY100(A), BE100(A+), BE10104(B+), BE103(B), ME100(F), CY110(O), ME110(O),EC110(O)
MDL16EC093MA101(F), CY100(F), BE100(F), BE10104(F), BE103(B), ME100(F), CY110(O), ME110(A+),EC110(A+)
MDL16EC094MA101(O), CY100(B+), BE100(B+), BE10104(A+), BE103(B+), ME100(C), CY110(O), ME110(B+),EC110(A)
MDL16EC095MA101(O), CY100(B+), BE100(B+), BE10104(A), BE103(A), ME100(B), CY110(O), ME110(A+),EC110(A+)
MDL16EC096MA101(A), CY100(B+), BE100(B), BE10104(B+), BE103(B+), ME100(B), CY110(O), ME110(A+),EC110(O)
MDL16EC097MA101(B+), CY100(B+), BE100(A), BE10104(B), BE103(B), ME100(C), CY110(O), ME110(O),EC110(A)
MDL16EC098MA101(B+), CY100(B+), BE100(B), BE10104(A+), BE103(A+), ME100(B), CY110(O), ME110(A+),EC110(A)
MDL16EC099MA101(O), CY100(A+), BE100(A+), BE10104(A+), BE103(B+), ME100(B+), CY110(O),ME110(A+), EC110(O)
MDL16EC100MA101(O), CY100(B+), BE100(A), BE10104(O), BE103(B+), ME100(B+), CY110(O), ME110(O),EC110(O)
MDL16EC101MA101(A), CY100(B+), BE100(O), BE10104(B+), BE103(B), ME100(C), CY110(O), ME110(B+),EC110(A)
MDL16EC102MA101(A+), CY100(C), BE100(B+), BE10104(B), BE103(B+), ME100(B+), CY110(O), ME110(O),EC110(B)
MDL16EC103MA101(O), CY100(A), BE100(A), BE10104(B+), BE103(B+), ME100(A), CY110(O), ME110(O),EC110(O)
MDL16EC104MA101(A), CY100(B+), BE100(B+), BE10104(B), BE103(B+), ME100(B), CY110(A+), ME110(A),EC110(O)
MDL16EC105MA101(A+), CY100(B), BE100(B+), BE10104(B), BE103(B+), ME100(B+), CY110(A+), ME110(A),EC110(A)
MDL16EC106MA101(O), CY100(B+), BE100(B+), BE10104(A), BE103(A), ME100(B+), CY110(O), ME110(A),EC110(A)
MDL16EC107MA101(O), CY100(A+), BE100(A), BE10104(A+), BE103(A), ME100(A), CY110(O), ME110(A+),EC110(A+)
MDL16EC108MA101(O), CY100(O), BE100(A+), BE10104(A+), BE103(A), ME100(A+), CY110(O), ME110(O),EC110(O)
MDL16EC109MA101(O), CY100(A+), BE100(C), BE10104(A), BE103(B+), ME100(B+), CY110(O), ME110(A+),EC110(B+)
MDL16EC110MA101(O), CY100(A+), BE100(A), BE10104(A), BE103(A), ME100(A+), CY110(O), ME110(A+),EC110(A)
MDL16EC111MA101(O), CY100(A+), BE100(O), BE10104(A+), BE103(A), ME100(A), CY110(O), ME110(O),EC110(O)
MDL16EC112MA101(O), CY100(O), BE100(O), BE10104(C), BE103(B+), ME100(B+), CY110(O), ME110(O),EC110(O)
MDL16EC113MA101(A+), CY100(B), BE100(C), BE10104(B), BE103(B), ME100(B), CY110(O), ME110(A+),EC110(B+)
MDL16EC114MA101(B), CY100(C), BE100(B+), BE10104(B), BE103(B+), ME100(B+), CY110(O), ME110(A),EC110(B+)
MDL16EC115MA101(B+), CY100(B), BE100(B+), BE10104(B), BE103(B), ME100(B), CY110(O), ME110(A+),EC110(A)
MDL16EC116MA101(A), CY100(A), BE100(B), BE10104(B+), BE103(B), ME100(B+), CY110(O), ME110(O),EC110(A+)
MDL16EC117MA101(B+), CY100(A), BE100(B), BE10104(C), BE103(B+), ME100(B+), CY110(O), ME110(A),EC110(A)
MDL16EC118MA101(A), CY100(B+), BE100(C), BE10104(B), BE103(B+), ME100(B), CY110(O), ME110(A),EC110(B+)
MDL16EC119MA101(O), CY100(A+), BE100(A+), BE10104(B+), BE103(B+), ME100(A), CY110(O), ME110(O),EC110(O)
MDL16EC120MA101(O), CY100(O), BE100(O), BE10104(A+), BE103(A), ME100(A+), CY110(O), ME110(O),EC110(O)COMPUTER SCIENCE & ENGINEERINGCourse CodeCourseMA101CALCULUSPH100ENGINEERING PHYSICSBE110ENGINEERING GRAPHICSEE100BASICS OF ELECTRICAL ENGINEERINGCY100ENGINEERING CHEMISTRYBE10105INTRODUCTION TO COMPUTING AND PROBLEMSOLVINGBE103INTRODUCTION TO SUSTAINABLE ENGINEERINGPH110ENGINEERING PHYSICS LABCS110COMPUTER SCIENCE WORKSHOPEE110ELECTRICAL ENGINEERING WORKSHOPRegister NoCourse Code (Grade)
MDL15CS002PH100(C), BE110(F)
MDL15CS003CY100(Absent)
MDL15CS036EE100(F)
MDL15CS038MA101(Absent), PH100(Absent)
MDL15CS046PH100(C)
MDL15CS103MA101(F), PH100(F)
MDL15CS107EE100(C)
MDL16CS001MA101(O), PH100(B), BE110(B+), BE10105(A), BE103(B), EE100(B), PH110(O), EE110(A+),CS110(O)
MDL16CS002MA101(O), PH100(B+), BE110(B+), BE10105(A+), BE103(B+), EE100(B+), PH110(O), EE110(O),CS110(O)
MDL16CS003MA101(B+), PH100(C), BE110(B), BE10105(B), BE103(B), EE100(F), PH110(B+), EE110(A+),CS110(A+)
MDL16CS004MA101(B+), PH100(F), BE110(A), BE10105(A+), BE103(B+), EE100(F), PH110(A+), EE110(A+),CS110(O)
MDL16CS005MA101(B), PH100(F), BE110(B), BE10105(B), BE103(C), EE100(F), PH110(A+), EE110(A+),CS110(A+)
MDL16CS006MA101(A+), PH100(B), BE110(A), BE10105(A), BE103(B+), EE100(B+), PH110(A+), EE110(B+),CS110(O)
MDL16CS007MA101(O), PH100(A), BE110(O), BE10105(O), BE103(A), EE100(B+), PH110(A+), EE110(O),CS110(O)
MDL16CS008MA101(A), PH100(C), BE110(F), BE10105(B), BE103(F), EE100(C), PH110(A), EE110(B+),CS110(B)
MDL16CS009MA101(O), PH100(B), BE110(B+), BE10105(A+), BE103(A+), EE100(B), PH110(B), EE110(O),CS110(A)
MDL16CS010MA101(O), PH100(B), BE110(C), BE10105(A), BE103(B), EE100(B), PH110(B+), EE110(A+),CS110(B+)
MDL16CS011MA101(B), PH100(P), BE110(B+), BE10105(A), BE103(B), EE100(F), PH110(B+), EE110(O),CS110(A+)
MDL16CS012MA101(O), PH100(B+), BE110(A), BE10105(B+), BE103(B+), EE100(B+), PH110(O), EE110(O),CS110(B)
MDL16CS013MA101(O), PH100(A+), BE110(B+), BE10105(B+), BE103(B+), EE100(A+), PH110(O),EE110(A+), CS110(O)
MDL16CS014MA101(F), PH100(F), BE110(F), BE10105(F), BE103(B), EE100(F), PH110(B+), EE110(A+),CS110(C)
MDL16CS015MA101(O), PH100(A), BE110(B+), BE10105(O), BE103(A), EE100(C), PH110(O), EE110(A+),CS110(O)
MDL16CS016MA101(A+), PH100(B+), BE110(F), BE10105(O), BE103(A), EE100(B+), PH110(O), EE110(A+),CS110(A+)
MDL16CS017MA101(A), PH100(B), BE110(O), BE10105(A), BE103(B+), EE100(A), PH110(O), EE110(A+),CS110(O)
MDL16CS018MA101(B+), PH100(C), BE110(F), BE10105(A), BE103(B+), EE100(B), PH110(A+), EE110(O),CS110(O)
MDL16CS019MA101(A), PH100(B), BE110(B), BE10105(B+), BE103(A), EE100(B), PH110(A+), EE110(A+),CS110(O)
MDL16CS020MA101(B+), PH100(A), BE110(A+), BE10105(O), BE103(B+), EE100(C), PH110(O), EE110(A+),CS110(A+)
MDL16CS021MA101(O), PH100(B+), BE110(B), BE10105(O), BE103(A), EE100(B+), PH110(O), EE110(O),CS110(O)
MDL16CS022MA101(B+), PH100(B+), BE110(B+), BE10105(B+), BE103(B), EE100(C), PH110(A+), EE110(B),CS110(O)
MDL16CS023MA101(O), PH100(A+), BE110(B+), BE10105(O), BE103(A), EE100(O), PH110(O), EE110(O),CS110(A+)
MDL16CS024MA101(B), PH100(C), BE110(F), BE10105(B+), BE103(B+), EE100(F), PH110(A+), EE110(A),CS110(A)
MDL16CS025MA101(A+), PH100(B+), BE110(O), BE10105(B), BE103(B+), EE100(B+), PH110(O), EE110(A+),CS110(A)
MDL16CS026MA101(A+), PH100(B), BE110(B+), BE10105(C), BE103(B+), EE100(B), PH110(O), EE110(O),CS110(O)
MDL16CS027MA101(O), PH100(A+), BE110(A+), BE10105(A), BE103(B), EE100(B+), PH110(O), EE110(A+),CS110(O)
MDL16CS028MA101(O), PH100(B+), BE110(A+), BE10105(B), BE103(B+), EE100(B+), PH110(O), EE110(O),CS110(A)
MDL16CS029MA101(O), PH100(A), BE110(C), BE10105(A), BE103(B+), EE100(B+), PH110(A), EE110(A+),CS110(A)
MDL16CS030MA101(B+), PH100(B+), BE110(B+), BE10105(A), BE103(C), EE100(B+), PH110(A), EE110(A+),CS110(B+)
MDL16CS031MA101(A+), PH100(B+), BE110(B+), BE10105(B+), BE103(B), EE100(C), PH110(A+),EE110(B+), CS110(A+)
MDL16CS032MA101(A+), PH100(A+), BE110(O), BE10105(O), BE103(B+), EE100(B+), PH110(O), EE110(B+),CS110(O)
MDL16CS033MA101(C), PH100(F), BE110(F), BE10105(F), BE103(B), EE100(F), PH110(A), EE110(A+),CS110(C)
MDL16CS034MA101(O), PH100(A), BE110(O), BE10105(O), BE103(A+), EE100(A), PH110(O), EE110(A+),CS110(O)
MDL16CS035MA101(A+), PH100(B+), BE110(B+), BE10105(A), BE103(A), EE100(C), PH110(A+), EE110(A+),CS110(B+)
MDL16CS036MA101(A), PH100(C), BE110(O), BE10105(A+), BE103(B+), EE100(B+), PH110(O), EE110(O),CS110(A+)
MDL16CS037MA101(O), PH100(O), BE110(B+), BE10105(O), BE103(A+), EE100(B+), PH110(O), EE110(O),CS110(B+)
MDL16CS038MA101(A), PH100(B+), BE110(B), BE10105(A+), BE103(A+), EE100(A), PH110(O), EE110(A+),CS110(O)
MDL16CS039MA101(O), PH100(B), BE110(O), BE10105(A+), BE103(A), EE100(B), PH110(A+), EE110(O),CS110(O)
MDL16CS040MA101(A), PH100(C), BE110(A+), BE10105(A), BE103(B+), EE100(B), PH110(O), EE110(O),CS110(O)
MDL16CS041MA101(O), PH100(C), BE110(B+), BE10105(B+), BE103(B+), EE100(C), PH110(A), EE110(B+),CS110(O)
MDL16CS042MA101(O), PH100(A), BE110(A), BE10105(A+), BE103(A+), EE100(A+), PH110(O), EE110(O),CS110(A)
MDL16CS043MA101(O), PH100(B), BE110(O), BE10105(A+), BE103(B+), EE100(A), PH110(O), EE110(O),CS110(A+)
MDL16CS044MA101(O), PH100(A), BE110(A+), BE10105(O), BE103(B+), EE100(O), PH110(O), EE110(O),CS110(O)
MDL16CS045MA101(O), PH100(B), BE110(B+), BE10105(A+), BE103(A), EE100(B), PH110(B+), EE110(O),CS110(A+)
MDL16CS046MA101(A+), PH100(A), BE110(O), BE10105(A), BE103(A), EE100(A+), PH110(O), EE110(O),CS110(A)
MDL16CS047MA101(O), PH100(B+), BE110(B+), BE10105(A+), BE103(B), EE100(A+), PH110(O), EE110(O),CS110(A+)
MDL16CS048MA101(A+), PH100(B), BE110(O), BE10105(A), BE103(B+), EE100(B+), PH110(O), EE110(A+),CS110(O)
MDL16CS049MA101(F), PH100(F), BE110(A), BE10105(F), BE103(B), EE100(F), PH110(B), EE110(B),CS110(A)
MDL16CS050MA101(O), PH100(A+), BE110(O), BE10105(O), BE103(B+), EE100(O), PH110(O), EE110(O),CS110(O)
MDL16CS051MA101(B), PH100(B), BE110(B+), BE10105(B), BE103(C), EE100(C), PH110(A), EE110(A+),CS110(B)
MDL16CS052MA101(O), PH100(B+), BE110(A+), BE10105(O), BE103(B+), EE100(B+), PH110(O), EE110(O),CS110(B+)
MDL16CS053MA101(B+), PH100(B), BE110(F), BE10105(A), BE103(B), EE100(C), PH110(B+), EE110(B+),CS110(B+)
MDL16CS054MA101(B+), PH100(B), BE110(A), BE10105(A), BE103(B+), EE100(B+), PH110(A+), EE110(A),CS110(O)
MDL16CS055MA101(O), PH100(A), BE110(O), BE10105(O), BE103(A), EE100(A+), PH110(A+), EE110(A+),CS110(A)
MDL16CS056MA101(O), PH100(A), BE110(B+), BE10105(O), BE103(B+), EE100(A+), PH110(O), EE110(O),CS110(O)
MDL16CS057MA101(B+), PH100(C), BE110(B+), BE10105(A+), BE103(B), EE100(F), PH110(A+), EE110(O),CS110(O)
MDL16CS058MA101(A+), PH100(B+), BE110(A), BE10105(O), BE103(A), EE100(O), PH110(O), EE110(O),CS110(O)
MDL16CS059MA101(O), PH100(A+), BE110(O), BE10105(O), BE103(A+), EE100(O), PH110(O), EE110(O),CS110(A)
MDL16CS060MA101(B+), PH100(B), BE110(A), BE10105(A+), BE103(C), EE100(B+), PH110(O), EE110(A+),CS110(O)
MDL16CS061MA101(B+), PH100(C), BE110(B+), BE10105(C), BE103(B), EE100(B), PH110(O), EE110(A+),CS110(A+)
MDL16CS062MA101(O), PH100(B+), BE110(A+), BE10105(O), BE103(A+), EE100(A), PH110(O), EE110(A),CS110(A)
MDL16CS063MA101(A+), PH100(B+), BE110(A), BE10105(A+), BE103(B+), EE100(B), PH110(O), EE110(O),CS110(O)
MDL16CS064MA101(B+), PH100(B+), BE110(B), BE10105(A+), BE103(O), EE100(B+), PH110(A+), EE110(A),CS110(B)
MDL16CS065MA101(O), PH100(B), BE110(A+), BE10105(A+), BE103(B+), EE100(B+), PH110(O), EE110(O),CS110(B+)
MDL16CS066MA101(O), PH100(A), BE110(A), BE10105(A+), BE103(B+), EE100(B+), PH110(O), EE110(A),CS110(B)
MDL16CS067MA101(A+), PH100(B+), BE110(B), BE10105(A), BE103(B+), EE100(C), PH110(O), EE110(O),CS110(O)
MDL16CS068MA101(O), PH100(B), BE110(F), BE10105(A), BE103(B), EE100(C), PH110(A), EE110(O),CS110(A+)
